IncidentNumber,CaseNumber,DateOccurred - Dt,DateOccurred - Txt,IncidentType,IncidentCode,AssociatedOfficerNumber,BadgeNum ber,OfficerTitle,OfficerRace,OfficerGender,OfficerOnDuty,FullAddress,CitizenNumber,CitizenRace,CitizenGenger,CitizenFatality,City,Precinct,CitizenGender,UseOfForceType
137,IA2000-00032,2/10/2000,2000-02-10,Internal,GEN,288,P2854,,,,,,54,White,Female,No,,,Female,
137,IA2000-00032,2/10/2000,2000-02-10,Internal,GEN,186,L377,,,,,,54,White,Female,No,,,Female,
138,IA2000-00177,Missing Data,2000-10-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
140,IA2000-00118,Missing Data,2000-07-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
145,IA2000-00169,10/2/2000,2000-10-02,Internal,GEN,107,2941,,,,,,57,Black,Female,No,,,Female,
146,UF2000-00124,7/26/2000,2000-07-26,Excessiveforce,GEN,101,P3226,,,,,,58,Black,Male,No,,,Male,
146,UF2000-00124,7/26/2000,2000-07-26,Excessiveforce,GEN,261,P3241,,,,,,58,Black,Male,No,,,Male,
147,IA2000-00172,10/10/2000,2000-10-10,Internal,GEN,291,P2760,,,,,,59,White,Female,No,,,Female,
148,IA2000-00174,10/16/2000,2000-10-16,External,GEN,154,P3161,,,,,,60,Unknown,Female,No,,,Female,
149,UF2000-00159,9/9/2000,2000-09-09,Excessiveforce,GEN,229,L340,,,,,,61,Black,Female,No,,,Female,
156,IA2000-00135,Missing Data,2000-08-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
